[2026-01-19 15:38:41.413760] Connecting to host 172.16.0.1, port 5001
[2026-01-19 15:38:41.534113] [  5] local 172.16.0.100 port 35406 connected to 172.16.0.1 port 5001
[2026-01-19 15:41:25.573661] [  5] 163.00-164.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:26.573732] [  5] 164.00-165.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:27.573620] [  5] 165.00-166.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:28.573620] [  5] 166.00-167.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:29.573626] [  5] 167.00-168.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:30.573604] [  5] 168.00-169.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:31.573564] [  5] 169.00-170.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:32.573583] [  5] 170.00-171.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:33.573606] [  5] 171.00-172.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:34.573587] [  5] 172.00-173.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:35.573608] [  5] 173.00-174.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:36.573711] [  5] 174.00-175.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:37.573736] [  5] 175.00-176.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:38.573599] [  5] 176.00-177.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:39.573577] [  5] 177.00-178.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:40.573567] [  5] 178.00-179.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:41.573579] [  5] 179.00-180.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:42.573596] [  5] 180.00-181.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:43.573591] [  5] 181.00-182.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:44.573585] [  5] 182.00-183.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:45.573583] [  5] 183.00-184.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:46.573706] [  5] 184.00-185.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:47.573648] [  5] 185.00-186.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:48.573759] [  5] 186.00-187.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:49.573627] [  5] 187.00-188.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:50.573675] [  5] 188.00-189.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:51.573626] [  5] 189.00-190.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:52.573636] [  5] 190.00-191.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:53.573722] [  5] 191.00-192.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:54.573693] [  5] 192.00-193.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:55.573701] [  5] 193.00-194.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:56.573605] [  5] 194.00-195.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:57.573623] [  5] 195.00-196.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:58.573628] [  5] 196.00-197.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:59.573623] [  5] 197.00-198.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:00.573556] [  5] 198.00-199.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:01.573565] [  5] 199.00-200.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:02.573603] [  5] 200.00-201.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:03.573556] [  5] 201.00-202.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:04.573554] [  5] 202.00-203.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:05.573555] [  5] 203.00-204.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:06.573560] [  5] 204.00-205.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:07.573555] [  5] 205.00-206.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:08.573562] [  5] 206.00-207.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:09.573551] [  5] 207.00-208.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:10.573551] [  5] 208.00-209.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:11.573602] [  5] 209.00-210.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:12.573564] [  5] 210.00-211.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:42:13.573735] [  5] 211.00-212.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
